Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/posts/7,6,0,17,17.281383333435468,15.57310000043799,18.172099999901548,225.0,0.10101360268898277,0.0,17,17,18,18,18,18,18,18,18,18,18
GET,/posts/70,6,0,18,20.1054000002235,17.33909999984462,30.36900000006426,212.0,0.10101360268898277,0.0,18,18,19,19,30,30,30,30,30,30,30
GET,/posts/71,4,0,18,17.643124999949578,15.877899999395595,18.890600000304403,232.0,0.06734240179265517,0.0,18,18,19,19,19,19,19,19,19,19,19
GET,/posts/72,10,0,16,17.558359999929962,15.145499999562162,27.73350000006758,278.0,0.16835600448163796,0.0,17,17,17,18,28,28,28,28,28,28,28
GET,/posts/73,5,0,21,27.318379999996978,17.275500000323518,57.72700000034092,287.0,0.08417800224081898,0.0,21,22,22,58,58,58,58,58,58,58,58
GET,/posts/74,6,0,18,19.264333333315637,16.71859999987646,22.845299999971758,296.0,0.10101360268898277,0.0,18,18,22,22,23,23,23,23,23,23,23
GET,/posts/75,10,0,18,17.948429999978543,16.2464999993972,19.69710000048508,301.0,0.16835600448163796,0.0,18,18,19,19,20,20,20,20,20,20,20
GET,/posts/76,6,0,17,25.210249999872758,16.546500000004016,63.836799999990035,204.0,0.10101360268898277,0.0,18,18,18,18,64,64,64,64,64,64,64
GET,/posts/77,4,0,17,17.82397499982835,15.648900000087451,20.39269999932003,287.0,0.06734240179265517,0.0,18,18,20,20,20,20,20,20,20,20,20
GET,/posts/78,5,0,19,30.39803999981814,16.765599999416736,69.74720000016532,211.0,0.08417800224081898,0.0,19,29,29,70,70,70,70,70,70,70,70
GET,/posts/79,4,0,19,18.95712500004265,16.84949999980745,20.81200000066019,272.0,0.06734240179265517,0.0,19,19,21,21,21,21,21,21,21,21,21
GET,/posts/8,8,0,18,18.57901250014038,16.929600000366918,20.99400000042806,260.0,0.13468480358531035,0.0,18,20,20,20,21,21,21,21,21,21,21
GET,/posts/80,4,0,17,17.618975000004866,15.926899999612942,19.972000000052503,284.0,0.06734240179265517,0.0,17,17,20,20,20,20,20,20,20,20,20
GET,/posts/81,7,0,18,17.875357142786793,16.041500000028464,22.42819999992207,306.0,0.11784920313714656,0.0,18,18,18,18,22,22,22,22,22,22,22
GET,/posts/82,9,0,19,24.044555555721875,16.918900000746362,62.04130000060104,284.0,0.15152040403347414,0.0,19,20,21,24,62,62,62,62,62,62,62
GET,/posts/83,6,0,17,17.445266666982207,15.913900000668946,20.187600000099337,285.0,0.10101360268898277,0.0,17,17,17,17,20,20,20,20,20,20,20
GET,/posts/84,7,0,19,24.546885714439018,17.464700000346056,58.75980000018899,271.0,0.11784920313714656,0.0,19,20,20,20,59,59,59,59,59,59,59
GET,/posts/85,11,0,18,18.490900000126036,15.603900000314752,23.304299999836076,288.0,0.18519160492980175,0.0,18,19,21,21,21,23,23,23,23,23,23
GET,/posts/86,5,0,21,28.39062000002741,18.017900000813825,59.089899999889894,258.0,0.08417800224081898,0.0,21,23,23,59,59,59,59,59,59,59,59
GET,/posts/87,7,0,18,18.65157142856333,16.7767000002641,21.93780000015977,193.0,0.11784920313714656,0.0,18,19,21,21,22,22,22,22,22,22,22
GET,/posts/88,5,0,20,19.721820000086154,17.051599999831524,22.257700000409386,191.0,0.08417800224081898,0.0,20,20,20,22,22,22,22,22,22,22,22
GET,/posts/89,6,0,17,18.755483333582863,16.640199999528704,21.79230000001553,253.0,0.10101360268898277,0.0,19,19,20,20,22,22,22,22,22,22,22
GET,/posts/9,8,0,18,18.039787500015336,16.349899999113404,22.88790000056906,246.0,0.13468480358531035,0.0,18,18,18,18,23,23,23,23,23,23,23
GET,/posts/90,7,0,18,20.492785714460688,16.25300000068819,28.638499999942724,250.0,0.11784920313714656,0.0,18,19,27,27,29,29,29,29,29,29,29
GET,/posts/91,7,0,20,27.114128571416327,15.735500000118918,59.84089999947173,229.0,0.11784920313714656,0.0,20,25,33,33,60,60,60,60,60,60,60
GET,/posts/92,11,0,18,18.998154545360276,16.319399999702,26.742400000330235,227.0,0.18519160492980175,0.0,18,18,19,19,23,27,27,27,27,27,27
GET,/posts/93,6,0,19,20.34724999991037,17.067900000256486,23.882200000116427,263.0,0.10101360268898277,0.0,21,21,23,23,24,24,24,24,24,24,24
GET,/posts/94,6,0,18,18.346950000098634,15.795400000570226,19.826900000225578,264.0,0.10101360268898277,0.0,20,20,20,20,20,20,20,20,20,20,20
GET,/posts/95,5,0,18,17.70963999988453,16.884700000446173,18.811799999639334,294.0,0.08417800224081898,0.0,18,18,18,19,19,19,19,19,19,19,19
GET,/posts/96,2,0,17.3439000000144,18.18600000024162,17.3439000000144,19.02810000046884,247.0,0.03367120089632759,0.0,19,19,19,19,19,19,19,19,19,19,19
GET,/posts/97,7,0,18,17.872371428633674,16.9106000003012,18.571200000224053,319.0,0.11784920313714656,0.0,18,18,18,18,19,19,19,19,19,19,19
GET,/posts/98,4,0,17.25319999968633,20.36769999972421,17.25319999968633,25.592799999685667,209.0,0.06734240179265517,0.0,21,21,26,26,26,26,26,26,26,26,26
